Impl Names/Sites,seattle,chicago,dallas,london,washdc
ruby186p111 linux libcurl,2.69%,5.51%,47.33%,1.01%,2.36%
ruby186p111 linux rfuzz,1.78%,3.72%,34.72%,1.05%,1.94%
ruby186p111 linux stock,14.16%,28.93%,99.59%,6.18%,16.70%
ruby187p72 linux custom-16kbuffer-notimeout,2.40%,5.11%,35.83%,1.15%,3.76%
ruby187p72 linux custom-16kbuffer-select,4.00%,8.29%,53.88%,1.92%,6.13%
ruby187p72 linux custom-64kbuffer,6.89%,15.06%,79.60%,3.24%,10.78%
ruby187p72 linux custom-64kbuffer-select,5.85%,13.98%,68.10%,3.03%,8.42%
ruby187p72 linux libcurl,1.29%,2.83%,21.99%,0.59%,1.80%
ruby187p72 linux rfuzz,1.44%,2.99%,28.95%,0.65%,2.16%
ruby187p72 linux stock,6.36%,13.14%,79.74%,2.69%,9.27%
