Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
seattle,libcurl,seattle with libcurl,11266,567.276810469744,7859,1467,7300,924,0.13,0.15,0.28,19.8597929477692
chicago,libcurl,chicago with libcurl,11266,1269.05328097595,7834,1472,16384,696,0.1,0.14,0.24,8.87748384475708
dallas,libcurl,dallas with libcurl,11266,3941.50932063412,7676,1502,16384,240,0.15,0.16,0.31,2.85829591751099
london,libcurl,london with libcurl,11266,277.119975100328,7815,1476,16060,884,0.15,0.14,0.29,40.653872013092
washdc,libcurl,washdc with libcurl,11266,366.42107660996,7851,1469,7300,116,0.13,0.17,0.3,30.7460479736328
seattle,net/http,seattle with net/http,11266,542.738981588763,7108,1623,65273,924,1.18,0.25,1.43,20.7576761245728
chicago,net/http,chicago with net/http,11266,1238.23058950987,7197,1602,30660,892,1.14,0.23,1.37,9.09846687316895
dallas,net/http,dallas with net/http,11266,9245.33890926864,4440,2598,65536,1460,0.79,0.18,0.97,1.21855998039246
london,net/http,london with net/http,11266,259.265318724494,7217,1598,30660,428,1.17,0.24,1.41,43.4535558223724
washdc,net/http,washdc with net/http,11266,879.966777265969,7317,1576,16060,924,1.15,0.23,1.38,12.8027560710907
seattle,rfuzz,seattle with rfuzz,11266,574.392489892981,705,16363,16384,2048,0.0599999999999996,0.25,0.31,19.6137661933899
chicago,rfuzz,chicago with rfuzz,11266,1263.84821698495,706,16340,16384,960,0.0300000000000002,0.22,0.25,8.91404509544373
dallas,rfuzz,dallas with rfuzz,11266,10646.3218615021,705,16363,16384,2048,0.0299999999999994,0.33,0.359999999999999,1.0582058429718
london,rfuzz,london with rfuzz,11266,278.336074845493,705,16363,16384,2048,0.0500000000000007,0.22,0.27,40.4762480258942
washdc,rfuzz,washdc with rfuzz,11266,875.431650252032,705,16363,16384,2048,0.0499999999999998,0.23,0.28,12.8690800666809
